 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2016
   20 BATALHA        22    21   10  45.88   EX      1     1931     2016
   21 SERRA FACAO   251    24   10  31.00   EX      0     1931     2016
   27 CAPIM BRANC1  207    28   10  11.46   EX      1     1931     2016
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2016
   29 CORUMBA IV    205   203   10  34.54   EX      0     1931     2016
   48 PIRAJU         48    49   12   0.00   EX      0     1931     2016
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2016
  131 NILO PECANHA  131   133    1   0.00   EX      0     1931     2016
  132 FONTES        303   133    1   0.00   EX      1     1931     2016
  141 BAGUARI       141   143    1   0.00   EX      0     1931     2016
  155 RETIRO BAIXO  155   156    1  50.00   EX      1     1931     2016
  156 TRES MARIAS   156     0    1  17.46   EX      1     1931     2016
  162 QUEIMADO      158     0    1  43.09   EX      1     1931     2016
  195 JAURU         295     0    1   0.00   EX      0     1931     2016
  196 GUAPORE       296   285    6   0.00   EX      0     1931     2016
  203 CORUMBA III    23    30   10  48.25   EX      0     1931     2016
  227 SINOP         227   228    7   0.00   NE      1     1931     2016
  228 COLIDER       228   229    7   0.00   NE      0     1931     2016
  229 TELES PIRES   229   230    7   0.00   EX      0     1931     2016
  230 SAO MANOEL    230     0    7   0.00   EE      1     1931     2016
  241 SLT VERDINHO  241    44   10   0.00   EX      0     1931     2016
  249 OURINHOS      249    50   12   0.00   EX      0     1931     2016
  251 SERRA MESA    270   252    1   8.93   EX      1     1931     2016
  252 CANA BRAVA    191   253    1   0.00   EX      1     1931     2016
  253 SAO SALVADOR  253   257    1   0.00   EX      1     1931     2016
  257 PEIXE ANGIC   257   261    1  48.50   EX      1     1931     2016
  261 LAJEADO       273     0    1   0.00   EX      1     1931     2016
  262 SALTO         294   241   10   0.00   EX      0     1931     2016
  276 RONDON II     145     0    6  12.00   EX      0     1931     2016
  281 PONTE PEDRA   281     0    1   0.00   EX      1     1931     2016
  285 JIRAU         285   287    6   0.00   EX      1     1931     2016
  287 STO ANTONIO   287     0    6   0.00   EX      1     1931     2016
  290 ESPORA         99    44   10  25.00   EX      0     1931     2016
  304 ITIQUIRA I    259   305    1   0.00   EX      0     1931     2016
  305 ITIQUIRA II   252     0    1   0.00   EX      1     1931     2016
  310 DARDANELOS    291     0    6   0.00   EX      0     1931     2016
  311 CACU          247   312   10  25.00   EX      0     1931     2016
  312 B. COQUEIROS  248   315   10   0.00   EX      0     1931     2016
  315 FOZ R. CLARO  261    44   10   0.00   EX      0     1931     2016
  318 FICT.STA BRA   54   319   12   0.00   NE      0     1931     2016
  319 FICT.MAUA      57    61   12 100.00   EX      1     1931     2016
  117 GUARAPIRANGA  117   118    1  60.00   EX      1     1931     2016
  118 BILLINGS      319   119    1  80.10   EX      1     1931     2016
  119 HENRY BORDEN  318     0    1   0.00   EX      1     1931     2016
  120 JAGUARI       120   123    1  41.09   EX      1     1931     2016
  121 PARAIBUNA     121   122    1  30.84   EX      1     1931     2016
  122 SANTA BRANCA  122   123    1  36.53   EX      1     1931     2016
  123 FUNIL         123   131    1  22.75   EX      1     1931     2016
  124 LAJES         132   132    1  83.38   EX      1     1931     2016
  126 PICADA        197   127    1   0.00   EX      0     1931     2016
  127 SOBRAGI       198   129    1   0.00   EX      0     1931     2016
  129 SIMPLICIO     126   130    1   0.00   EX      0     1931     2016
  130 ILHA POMBOS   299     0    1   0.00   EX      0     1931     2016
